ClassName,AttackerName,ActiveTime
CommandPattern.Idle,2pPlayer,5.419996
CommandPattern.BackwardWalk,1pPlayer,5.439996
CommandPattern.Idle,2pPlayer,5.439996
CommandPattern.BackwardWalk,1pPlayer,5.459996
CommandPattern.Idle,2pPlayer,5.459996
CommandPattern.BackwardWalk,1pPlayer,5.479996
CommandPattern.Idle,2pPlayer,5.479996
CommandPattern.BackwardWalk,1pPlayer,5.499996
CommandPattern.Idle,2pPlayer,5.499996
CommandPattern.BackwardWalk,1pPlayer,5.519996
CommandPattern.Idle,2pPlayer,5.519996
CommandPattern.BackwardWalk,1pPlayer,5.539996
CommandPattern.Idle,2pPlayer,5.539996
CommandPattern.BackwardWalk,1pPlayer,5.559996
CommandPattern.Idle,2pPlayer,5.559996
CommandPattern.BackwardWalk,1pPlayer,5.579996
CommandPattern.Idle,2pPlayer,5.579996
CommandPattern.BackwardWalk,1pPlayer,5.599996
CommandPattern.Idle,2pPlayer,5.599996
CommandPattern.BackwardWalk,1pPlayer,5.619996
CommandPattern.Idle,2pPlayer,5.619996
CommandPattern.BackwardWalk,1pPlayer,5.639996
CommandPattern.Idle,2pPlayer,5.639996
CommandPattern.BackwardWalk,1pPlayer,5.659996
CommandPattern.Idle,2pPlayer,5.659996
CommandPattern.BackwardWalk,1pPlayer,5.679996
CommandPattern.Idle,2pPlayer,5.679996
CommandPattern.BackwardWalk,1pPlayer,5.699996
CommandPattern.Idle,2pPlayer,5.699996
CommandPattern.BackwardWalk,1pPlayer,5.719995
CommandPattern.Idle,2pPlayer,5.719995
CommandPattern.BackwardWalk,1pPlayer,5.739995
CommandPattern.Idle,2pPlayer,5.739995
CommandPattern.BackwardWalk,1pPlayer,5.759995
CommandPattern.Idle,2pPlayer,5.759995
